iter	RMSE
302	0.1323973175
303	0.132361748
304	0.1323448065
305	0.1323179849
306	0.1322877043
307	0.1322593951
308	0.1322354331
309	0.1322141383
310	0.1321869508
311	0.1321529105
312	0.1321240779
313	0.1320746408
314	0.1320532523
315	0.1320299896
316	0.1319953122
317	0.1319685056
318	0.1319345246
319	0.131894309
320	0.1318794526
321	0.1318602491
322	0.1318427823
323	0.1318033791
324	0.131766074
325	0.1317223548
326	0.131706496
327	0.1316736877
328	0.1316593755
329	0.1316128157
330	0.1315617819
331	0.131544612
332	0.1314922351
333	0.1314629658
334	0.1314313426
335	0.131405945
336	0.1313732636
337	0.1313373082
338	0.1312817578
339	0.1312596896
340	0.1312103668
341	0.1311560381
342	0.1311215658
343	0.1311040037
344	0.1310737867
345	0.1310529955
346	0.1310147006
347	0.1309934038
348	0.1309693935
349	0.1309388421
350	0.1309028132
351	0.1308575392
352	0.1308366097
353	0.1308211429
354	0.1307823193
355	0.1307556203
356	0.1307133282
357	0.1306697595
358	0.1306445502
359	0.1306139588
360	0.130582963
361	0.1305484039
362	0.1305227321
363	0.1304858633
364	0.1304557679
365	0.1304358684
366	0.1304087008
367	0.1303700477
368	0.1303457103
369	0.130324043
370	0.130290776
371	0.1302650353
372	0.1302177288
373	0.1301946526
374	0.1301547627
375	0.1301284538
376	0.1300933522
377	0.1300556133
378	0.1300305828
379	0.1299913767
380	0.129955989
381	0.1299397327
382	0.1299041087
383	0.129877478
384	0.1298334447
385	0.1298070321
386	0.1297719028
387	0.1297444515
388	0.1297207658
389	0.1296942649
390	0.1296702208
391	0.1296583437
392	0.129626931
393	0.1296054922
394	0.1295614466
395	0.1295176586
396	0.1294961854
397	0.1294639295
398	0.1294399694
399	0.1294127769
400	0.1293946335
401	0.1293609523
402	0.1293470116
403	0.1292887605
404	0.1292701739
405	0.1292399197
406	0.1292201438
407	0.1291941697
408	0.1291711972
409	0.1291391794
410	0.1291077627
411	0.1290780449
412	0.1290508833
413	0.1290004546
414	0.1289677969
415	0.1289319714
416	0.1289023219
417	0.1288682373
418	0.1288565708
419	0.1288317684
420	0.1287924725
421	0.128761009
422	0.1287326823
423	0.1286951824
424	0.1286640223
425	0.1286483913
426	0.128607241
427	0.1285635392
428	0.1285300396
429	0.1285009943
430	0.1284735104
431	0.1284461783
432	0.1284100483
433	0.1283858447
434	0.1283669335
435	0.1283390577
436	0.1283121379
437	0.1282877244
438	0.1282697601
439	0.1282333798
440	0.1282163577
441	0.1281868199
442	0.1281637032
443	0.1281190539
444	0.1281031768
445	0.128080712
446	0.1280521342
447	0.1280279739
448	0.1279970064
449	0.1279650524
450	0.1279472271
451	0.1279218597
452	0.127892115
453	0.1278673071
454	0.1278397566
455	0.12780544
456	0.1277609129
457	0.1277335066
458	0.1276940667
459	0.1276669427
460	0.1276430785
461	0.1276118727
462	0.1275966074
463	0.1275717499
464	0.1275424145
465	0.1275123651
466	0.1274809554
467	0.1274561586
468	0.1274341426
469	0.1274144034
470	0.1273803387
471	0.127360785
472	0.1273193395
473	0.1272946281
474	0.1272781187
475	0.1272475453
476	0.1272084849
477	0.1271841358
478	0.127154703
479	0.1271327511
480	0.1271154592
481	0.1270901681
482	0.1270637377
483	0.1270416009
484	0.1270172864
485	0.1269857645
486	0.1269557544
487	0.1269306519
488	0.1269081098
489	0.1268875289
490	0.1268522839
491	0.1268259159
492	0.1268104714
493	0.126787212
494	0.1267605656
495	0.1267316032
496	0.1267008416
497	0.1266618841
498	0.1266349107
499	0.1266096031
500	0.1265832646
501	0.1265524199
502	0.1265336527
503	0.1265133981
504	0.1264917022
505	0.1264763487
506	0.1264533623
507	0.1264311627
508	0.1264076723
509	0.1263846805
510	0.1263475818
511	0.126332338
512	0.1262992395
513	0.1262749994
514	0.1262505742
515	0.1262237967
516	0.1261916065
517	0.1261601513
518	0.1261373828
519	0.1261151986
520	0.1260902297
521	0.1260704358
522	0.1260447602
523	0.1260301813
524	0.1260032695
525	0.1259831327
526	0.1259621367
527	0.1259404953
528	0.1259152539
529	0.1258945077
530	0.1258672158
531	0.1258396507
532	0.1258182217
533	0.1257804414
534	0.1257521481
535	0.1257314543
536	0.1257066923
537	0.1256789351
538	0.1256478305
539	0.1256251589
540	0.1256039093
541	0.1255890521
542	0.125567967
543	0.1255520962
544	0.1255153316
545	0.1254850275
546	0.1254613159
547	0.1254428278
548	0.125415573
549	0.1253832795
550	0.1253537884
551	0.1253299557
552	0.1253053164
553	0.1252813579
554	0.1252585863
555	0.1252316248
556	0.1252114748
557	0.1252014895
558	0.1251704395
559	0.1251439043
560	0.1251253353
561	0.1250990561
562	0.1250715658
563	0.1250429752
564	0.1250177404
565	0.1249949203
566	0.1249735128
567	0.1249537725
568	0.1249351694
569	0.1249166375
570	0.1248943991
571	0.1248738192
572	0.1248449326
573	0.1248083113
574	0.1247870692
575	0.1247548604
576	0.1247287341
577	0.1247061136
578	0.1246758256
579	0.124654912
580	0.1246307354
581	0.1246122404
582	0.1245844568
583	0.1245554378
584	0.1245291584
585	0.1245017487
586	0.1244690628
587	0.1244568411
588	0.1244322213
589	0.1244100465
590	0.1243880258
591	0.1243692071
592	0.1243498713
593	0.1243243234
594	0.1243009831
595	0.1242903824
596	0.1242574137
597	0.1242371721
598	0.1242165165
599	0.1241965532
600	0.1241677948
601	0.1241417957
602	0.1241233191
603	0.124093271
604	0.1240731857
605	0.1240512761
606	0.1240257542
607	0.1240077034
608	0.1239743239
609	0.123957004
610	0.1239349098
611	0.1239190948
612	0.1239007798
613	0.1238824166
614	0.1238506354
615	0.1238280463
616	0.1237948309
617	0.1237672713
618	0.1237437937
619	0.1237151291
620	0.1236899629
621	0.1236734144
622	0.1236584517
623	0.1236379834
624	0.1236119974
625	0.1235834119
626	0.1235734663
627	0.1235445068
628	0.1235187059
629	0.1234956312
630	0.1234725491
631	0.1234437876
632	0.1234149193
633	0.1233987655
634	0.1233785475
635	0.1233657907
636	0.1233476233
637	0.1233228564
638	0.1233039329
639	0.1232825012
640	0.1232611345
641	0.1232368566
642	0.1232201562
643	0.1231976411
644	0.1231756796
645	0.1231617318
646	0.1231486686
647	0.1231337927
648	0.1231098309
649	0.1230911152
650	0.1230638572
651	0.1230389302
652	0.1230124658
653	0.1229921216
654	0.1229746094
655	0.1229597039
656	0.1229425841
657	0.1229205359
658	0.1228963869
659	0.1228765659
660	0.1228558123
661	0.1228393675
662	0.1228187038
663	0.1228013002
664	0.1227818491
665	0.1227612584
666	0.1227375031
667	0.1227157425
668	0.1226970595
669	0.1226818146
670	0.1226652076
671	0.1226476589
672	0.1226337103
673	0.1226094439
674	0.1225874497
675	0.122562039
676	0.1225387399
677	0.1225182401
678	0.1224911579
679	0.1224694683
680	0.1224474947
681	0.1224229882
682	0.1224000774
683	0.1223827055
684	0.1223641597
685	0.1223443127
686	0.1223203308
687	0.1223026103
688	0.1222842945
689	0.1222613836
690	0.1222420648
691	0.1222231354
692	0.1222059987
693	0.1221879924
694	0.1221720308
695	0.12216267
696	0.1221366732
697	0.1221183302
698	0.1220914813
699	0.1220601845
700	0.1220404207
701	0.1220249593
702	0.1220072308
703	0.1219868711
704	0.1219555679
705	0.1219363512
706	0.1219156417
707	0.1219004225
708	0.1218728116
709	0.1218451683
710	0.1218104955
711	0.1217859964
712	0.1217723315
713	0.1217488038
714	0.1217165046
715	0.1216838124
716	0.1216697737
717	0.1216450084
718	0.1216314721
719	0.1216075712
720	0.1215882373
721	0.1215641828
722	0.1215453382
723	0.1215231467
724	0.1214902387
725	0.1214700404
726	0.1214482529
727	0.121435055
728	0.1214144141
729	0.1213975958
730	0.1213846644
731	0.1213548044
732	0.1213371115
733	0.1213219802
734	0.1212908298
735	0.1212660337
736	0.1212523608
737	0.1212399384
738	0.1212175808
739	0.1211985848
740	0.1211793336
741	0.1211518296
742	0.1211275907
743	0.121108489
744	0.1210930904
745	0.1210744953
746	0.1210531077
747	0.1210422561
748	0.1210144876
749	0.1209998824
750	0.1209847448
751	0.1209690597
752	0.1209544976
753	0.120938912
754	0.120920476
755	0.1208922435
756	0.1208687637
757	0.1208476642
758	0.1208312794
759	0.120812099
760	0.1207991639
761	0.1207755789
762	0.1207508505
763	0.1207339674
764	0.1207256239
765	0.1207106258
766	0.1206947521
767	0.120673959
768	0.1206581756
769	0.1206367495
770	0.1206193596
771	0.1205924363
772	0.1205732192
773	0.120546907
774	0.1205250757
775	0.1204985566
776	0.1204826045
777	0.120461655
778	0.1204274027
779	0.1204063059
780	0.1203879492
781	0.1203775689
782	0.1203577285
783	0.1203370692
784	0.1203177006
785	0.1202988613
786	0.1202793692
787	0.1202625677
788	0.1202304604
789	0.1202128499
790	0.1201982851
791	0.1201773852
792	0.1201635575
793	0.1201521124
794	0.1201222896
795	0.1201037416
796	0.1200848293
797	0.1200562924
798	0.1200316553
799	0.1200134562
800	0.1199940151
801	0.1199753463
802	0.1199633609
803	0.1199409819
804	0.1199234932
805	0.1199067246
806	0.1198834387
807	0.1198734441
808	0.119856188
809	0.1198373651
810	0.1198198355
811	0.1198049915
812	0.1197882836
813	0.1197681531
814	0.1197438533
815	0.1197219839
816	0.1196985047
817	0.119668795
818	0.1196516662
819	0.1196324067
820	0.1196105991
821	0.1195977786
822	0.1195792343
823	0.1195582349
824	0.1195442596
825	0.1195210278
826	0.1195054752
827	0.1194900923
828	0.1194818373
829	0.1194699499
830	0.1194514863
831	0.1194354405
832	0.1194243785
833	0.1193950066
834	0.1193829783
835	0.1193630594
836	0.1193495053
837	0.1193136309
838	0.1192962514
839	0.1192821715
840	0.1192654945
841	0.1192511161
842	0.1192313749
843	0.1192064599
844	0.1191939369
845	0.119173136
846	0.1191594488
847	0.1191410617
848	0.1191273086
849	0.1191158648
850	0.1191004051
851	0.1190832989
852	0.119069409
853	0.1190537659
854	0.1190255217
855	0.1190056737
856	0.1189798984
857	0.1189551935
858	0.1189373465
859	0.1189110193
860	0.1188897182
861	0.1188747971
862	0.118859594
863	0.1188396713
864	0.118816137
865	0.1188071478
866	0.1187914862
867	0.118773265
868	0.1187597092
869	0.1187399485
870	0.1187267053
871	0.1187141614
872	0.1186978759
873	0.1186734208
874	0.1186597375
875	0.1186491149
876	0.1186236768
877	0.1186120607
878	0.1185898446
879	0.1185808097
880	0.1185606893
881	0.1185399811
882	0.1185250111
883	0.1185112025
884	0.1184980237
885	0.1184855276
886	0.1184655094
887	0.1184454097
888	0.1184338141
889	0.1184175282
890	0.1183956477
891	0.1183774003
892	0.1183587954
893	0.1183450511
894	0.1183354144
895	0.1183211407
896	0.1183045395
897	0.1182817897
898	0.1182659893
899	0.1182489022
900	0.1182313252
901	0.1182131767
902	0.118200828
903	0.1181905503
904	0.1181679554
905	0.1181533399
906	0.1181357075
907	0.1181167994
908	0.1181052809
909	0.1180934615
910	0.1180668659
911	0.1180480939
912	0.1180250562
913	0.1180034844
914	0.1179896502
915	0.1179776758
916	0.1179622242
917	0.1179438301
918	0.1179261333
919	0.1179025699
920	0.1178896206
921	0.117879759
922	0.1178562754
923	0.1178360588
924	0.1178192696
925	0.1177929032
926	0.1177741287
927	0.117754674
928	0.1177379518
929	0.1177236309
930	0.1177048314
931	0.1176889062
932	0.117674296
933	0.1176581716
934	0.1176372482
935	0.117623349
936	0.1176078157
937	0.1175950728
938	0.1175834796
939	0.1175705341
940	0.1175513672
941	0.1175296548
942	0.1175213458
943	0.1175016043
944	0.1174821763
945	0.1174651585
946	0.1174446016
947	0.1174289659
948	0.1174177319
949	0.1173998118
950	0.11738761
951	0.1173681352
952	0.1173488289
953	0.1173297171
954	0.1173149217
955	0.1173001565
956	0.1172764232
957	0.117259881
958	0.1172438571
959	0.1172248036
960	0.1172071223
961	0.1171932849
962	0.1171717907
963	0.1171578964
964	0.1171438086
965	0.1171321618
966	0.1171121366
967	0.1170919686
968	0.1170771197
969	0.1170586275
970	0.1170448207
971	0.1170317963
972	0.1170191669
973	0.117003729
974	0.1169869998
975	0.1169641199
976	0.1169459569
977	0.1169260737
978	0.1169123058
979	0.1169001728
980	0.1168885247
981	0.1168704979
982	0.1168580208
983	0.116839624
984	0.1168285491
985	0.1168114475
986	0.1167882258
987	0.1167647416
988	0.1167468827
989	0.1167330444
990	0.1167239688
991	0.116702366
992	0.116689326
993	0.1166756383
994	0.1166630424
995	0.1166387053
996	0.1166161619
997	0.1165964956
